alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size,r_repulsion,r_orientation,r_attraction,alpha,beta
CAB,0,1.9334444527666048,"[0.9201127871574466, -0.05852391135583751, 0.1203940260454918, 0.043159296763586465, -0.07506463232239502, 0.1598054849105846]",50,0,2.54,60,0.3,1.0,1.5,0.13,0.03
CAB,1,1.4563801186152152,"[-0.11799536616680402, -0.14876769074431043, -0.021103660645979613, -0.33052450585013243, -0.04888803596050012, -0.007935469242674935]",50,1,2.68,60,0.3,1.0,1.5,0.13,0.03
CAB,2,0.8449626282123259,"[0.02469088094229397, 0.21776046166412738, -0.017489475871588885, 0.009332822599063708, 0.08554852981829282, -0.07566168761410647]",50,1,2.65,60,0.3,1.0,1.5,0.13,0.03
CAB,3,1.2790231110867158,"[0.093295035572248, 0.08192078574658007, -0.19720024283578935, 0.19846306056237017, 0.018018031098911452, 0.12039481606908256]",50,2,2.55,60,0.3,1.0,1.5,0.13,0.03
CAB,4,2.8434177898358155,"[-0.0015334491609617154, 0.862825590859653, 0.10683408932070046, -0.0042132903145760655, 0.8201692390215088, 0.9783498981414517]",50,2,2.42,60,0.3,1.0,1.5,0.13,0.03
CAB,0,3.6754875418307447,"[1.1946078475626325, -0.062030742956618264, 0.04283152987245209, 0.19131829532335184, -0.6651279316971425, 0.7984341489476031]",50,0,2.41,60,0.3,1.0,1.5,0.13,0.07
CAB,1,2.660563213681805,"[-1.0413938492826587, -0.15518473226106871, 0.22709830350021665, -0.26549934248938767, -0.02945007046099399, -0.05354465152083797]",50,5,2.39,60,0.3,1.0,1.5,0.13,0.07
CAB,2,1.233759488208698,"[-0.060776861451316846, -0.08676652700657407, -2.700710916172036e-05, -0.008918900514870546, 0.15304655345101859, -0.27297558451046766]",50,0,2.44,60,0.3,1.0,1.5,0.13,0.07
CAB,3,3.2823957165821622,"[0.9170761477944259, -0.07150307070150594, -1.1022291628574765, 0.9187413503305494, -0.0904549206461389, 0.921996241080895]",36,10,1.77,60,0.3,1.0,1.5,0.13,0.07
CAB,4,2.537159995253273,"[-0.12681057374043858, 0.21889075291055962, 0.20425922558691348, -0.05456127375128926, 0.15056985580466978, 1.0062339255102237]",50,2,2.43,60,0.3,1.0,1.5,0.13,0.07
CAB,0,2.4380413649813346,"[0.9553074278158259, 0.009931268410936648, 0.7515814622383701, -0.10252575693140842, 0.06305464181679798, 0.029492698191030467]",50,0,2.4,60,0.3,1.0,1.5,0.16,0.03
CAB,1,0.2155479867805714,"[-0.059786008523451464, -0.041396467346643984, -0.024508475105460222, 0.027438421271546453, -0.030478715008513863, 0.02061022489475945]",50,1,2.32,60,0.3,1.0,1.5,0.16,0.03
CAB,2,0.19912503451654517,"[-0.047820448437315456, -0.044039809916471065, 0.024547958713106367, 0.03646375241226865, -0.023900486873513198, 0.018627620050885106]",50,0,2.37,60,0.3,1.0,1.5,0.16,0.03
CAB,3,0.29389981348399674,"[0.059353849336384525, -0.06011249743910911, -0.04995467048809729, 0.04276419551573921, 0.029704702256359322, 0.01970393320117784]",50,0,2.48,60,0.3,1.0,1.5,0.16,0.03
CAB,4,1.6034638203240346,"[-0.037063372208336366, 0.17298976081391654, -0.12045329803373878, 0.16920101211243785, 0.05981167766670671, 0.2835341890308351]",50,1,2.34,60,0.3,1.0,1.5,0.16,0.03
CAB,0,3.193036054147129,"[1.0353015087893382, -0.9231506989338121, 0.9677187991258542, 0.04948483174458993, -0.1348078690937279, 0.9624984906627532]",50,3,2.36,60,0.3,1.0,1.5,0.16,0.07
CAB,1,0.3966968548613754,"[0.029009734896835913, -0.0780589897162006, -0.10058100240489115, -0.018404391268106564, -0.02280056389476935, 0.044075330543262084]",50,3,2.35,60,0.3,1.0,1.5,0.16,0.07
CAB,2,0.5117958387155892,"[-0.07607759770414743, -0.04766428053034914, -0.01856561451623217, 0.09196977303379855, 0.10766391410044732, -0.011771320196558702]",50,0,2.36,60,0.3,1.0,1.5,0.16,0.07
CAB,3,0.7013887875912066,"[0.04611423887460736, -0.04807963663835693, -0.17567605725516738, 0.08068559286191425, -0.060777852626123084, -0.016332543422323077]",50,0,2.35,60,0.3,1.0,1.5,0.16,0.07
CAB,4,2.5803184315207948,"[-0.03663492759807735, 0.8254565058864555, 0.20731744853471964, 0.9267805657669838, -0.04063174088986503, 0.07825963347016661]",50,0,2.34,60,0.3,1.0,1.5,0.16,0.07
CAB,0,3.031379522113554,"[0.9433548563198151, -0.03361695820182562, 0.2822711409441504, -0.14846572190681845, -0.15435165529041997, 0.7775631102637537]",50,0,2.38,60,0.3,1.0,2.0,0.13,0.03
CAB,1,0.6369853070066971,"[-0.12475328409536936, 0.02159530738380898, 0.03826004740906109, -0.1371724046659009, -0.05571080325409828, -0.00455945709205785]",50,1,2.35,60,0.3,1.0,2.0,0.13,0.03
CAB,2,0.763994650845206,"[0.05815995953301118, -0.04674659885650731, -0.06956264734379099, -0.1515296290451226, 0.132804215652135, -0.0015787558383835029]",50,0,2.35,60,0.3,1.0,2.0,0.13,0.03
CAB,3,1.9358427910400384,"[0.12858249140104933, 0.08199022804622019, -0.11822928545830289, 0.9409538138696576, 0.1101180472554174, 0.006352226846142242]",50,6,2.34,60,0.3,1.0,2.0,0.13,0.03
CAB,4,2.2950903928500037,"[-0.012273501067418665, -0.009634510241813476, -0.008567099860355675, 0.3872126618703752, 0.09462114569430324, 0.47658488921268816]",50,4,2.36,60,0.3,1.0,2.0,0.13,0.03
CAB,0,2.105549007043845,"[0.35448506750729863, -0.019074289545187615, 0.3229179593151132, -0.1792741890721628, -0.09029850636513843, 0.0166772600899651]",50,0,2.37,60,0.3,1.0,2.0,0.13,0.07
CAB,1,0.6064495180039349,"[-0.11909993825438903, -0.0015827841011438956, 0.017962875475626465, 0.021793049645252822, -0.1466166563030289, -0.02308690605095081]",50,0,2.34,60,0.3,1.0,2.0,0.13,0.07
CAB,2,1.1904992985129224,"[-0.14773943591238548, 0.03809203815200256, -0.1599826716606561, -0.20339896998547, -0.026324685823055454, -0.08170338668070538]",50,1,2.35,60,0.3,1.0,2.0,0.13,0.07
CAB,3,1.7903835523133336,"[0.5318268379515689, -0.08463561246403475, -0.010729756981911021, 0.014340722956712824, -0.025187215588872287, -0.12565619578747678]",50,4,2.32,60,0.3,1.0,2.0,0.13,0.07
CAB,4,2.278482413940005,"[0.036742729431404976, 0.8066671432679074, -0.006899966418413875, 0.02962308765683335, -0.02216575527104449, 0.863180742787363]",50,2,2.36,60,0.3,1.0,2.0,0.13,0.07
CAB,0,2.37523244174189,"[0.651112121638546, -0.0815175853733765, -0.19725220356488413, 0.035142523618483565, -0.23275271864935693, -0.11361857856371657]",50,1,2.31,60,0.3,1.0,2.0,0.16,0.03
CAB,1,5.38143759394713,"[-2.245656267312014, 0.31020089311180293, 0.6417777726256976, -0.08647929129317919, -0.8713141057024161, 0.8855680961317303]",18,10,0.86,60,0.3,1.0,2.0,0.16,0.03
CAB,2,0.25239536341588265,"[0.023894480414850178, -0.02853046840599996, 0.06553254915081054, -0.04236441241637416, 0.05026368462179012, 0.01247243352407314]",50,0,2.31,60,0.3,1.0,2.0,0.16,0.03
CAB,3,1.6490533142181758,"[0.19635175877794145, 0.01848221404230315, 0.08854935876875611, -0.033829568804542964, -0.1409889424649386, -0.32639168461451673]",50,3,2.28,60,0.3,1.0,2.0,0.16,0.03
CAB,4,1.9154563135988636,"[0.06343759931937083, 0.03224020917286254, -0.1373535610780354, 0.20004194075238094, 0.0649282980929221, -0.43321511149533737]",50,2,2.31,60,0.3,1.0,2.0,0.16,0.03
CAB,0,2.32144404904496,"[0.1212046005448128, 0.32924436230007864, 0.29730354129715114, 0.001501721106553007, -0.3116707866694656, 0.05420437150794201]",50,4,2.32,60,0.3,1.0,2.0,0.16,0.07
CAB,1,0.3297092061258913,"[-0.02896148792347953, -0.025607681069939336, 0.04891912125876588, -0.0770351239534629, -0.03847285612384137, 0.061595614392660855]",50,0,2.3,60,0.3,1.0,2.0,0.16,0.07
CAB,2,0.17458562791354426,"[0.04301160101737607, -0.04849005229384282, -0.03384801574496664, 0.004505935681258452, -0.01919616276022293, -0.006326801072988067]",50,0,2.3,60,0.3,1.0,2.0,0.16,0.07
CAB,3,0.6030787666826964,"[0.1284789849425842, -0.03366927514653624, 0.03673480730183948, 0.0965119965412457, -0.08629104337088757, 0.021833270896588403]",50,3,2.3,60,0.3,1.0,2.0,0.16,0.07
CAB,4,1.6871912695071178,"[-0.0237128271836747, 0.858624149207473, -0.05423913806275668, -0.006091176802715544, -0.023933835449535406, 0.12459765297931179]",50,1,2.32,60,0.3,1.0,2.0,0.16,0.07
CAB,0,2.903805698544986,"[0.9651828802664204, -0.2673441066396043, 0.04515140376592543, 0.02008709208745478, -0.5529488766210606, -0.050252786828809806]",50,5,2.41,60,0.3,1.2,1.5,0.13,0.03
CAB,1,1.8860016637141084,"[-0.34126001734584677, 0.090371722960244, 0.015135059393959812, -0.015850732603201564, -0.28546794499313705, 0.12573101361590885]",50,3,2.36,60,0.3,1.2,1.5,0.13,0.03
CAB,2,1.292116740352466,"[0.10189392432357387, 0.17245443746594108, -0.192082030921458, -0.1446276489725352, -0.09466348189507418, -0.044218875284662]",50,1,2.35,60,0.3,1.2,1.5,0.13,0.03
CAB,3,1.8053635545557403,"[0.8959729943038784, -0.08885926487750571, -0.04274575902569793, 0.12625207250724088, -0.013675889491609071, 0.09422013036145879]",50,3,2.35,60,0.3,1.2,1.5,0.13,0.03
CAB,4,2.6300009685284533,"[-0.022373604855183426, 0.7969433478805594, -0.03290825071509294, 0.05158481742857688, 0.22374381338667715, 0.9667432643417441]",50,4,2.37,60,0.3,1.2,1.5,0.13,0.03
CAB,0,3.924834727965703,"[1.1798002035334871, -0.39638914585810214, -0.09298493850904796, -0.02957639735471135, -0.36343438962155117, 0.565470032785885]",50,0,2.4,60,0.3,1.2,1.5,0.13,0.07
CAB,1,2.5418513380916186,"[0.04391568627494689, -0.09379818882409638, 0.9060220703117404, -0.7765741946428868, 0.13394801711805635, -0.08352776322941219]",50,5,2.37,60,0.3,1.2,1.5,0.13,0.07
CAB,2,1.7934639264058494,"[-0.2869067147648618, -0.09151377736364633, -0.12225482353739599, 0.1457962635105697, 0.09663187749465114, 0.22787110552065706]",50,0,2.37,60,0.3,1.2,1.5,0.13,0.07
CAB,3,3.2823957165821622,"[0.9170761477944259, -0.07150307070150594, -1.1022291628574765, 0.9187413503305494, -0.0904549206461389, 0.921996241080895]",36,10,1.75,60,0.3,1.2,1.5,0.13,0.07
CAB,4,2.756043224973887,"[-0.018475203666749335, 0.886178722815323, -0.12475094313788958, -0.11778694969325983, 0.9594372132778326, 0.23520329216497865]",50,0,2.39,60,0.3,1.2,1.5,0.13,0.07
CAB,0,2.0909936971581478,"[-0.0999507166337756, -0.217410373463795, 0.2558511349757251, 0.25638310068562115, 0.026317423703739844, 0.22630926972059162]",50,0,2.34,60,0.3,1.2,1.5,0.16,0.03
CAB,1,0.7085855017873439,"[0.051637765746031274, -0.1264155550116266, 0.04743213658607573, -0.08617106569176461, -0.07476637684567909, 0.10660197437187059]",50,0,2.3,60,0.3,1.2,1.5,0.16,0.03
CAB,2,0.17586669816012845,"[-0.015592194544924737, 0.013052235070995384, -0.04449256689520289, -0.03651762845215128, 0.007510128408439631, 0.0453673488122583]",50,0,2.3,60,0.3,1.2,1.5,0.16,0.03
CAB,3,2.190287326582919,"[0.8986565065274468, -0.9625773815231038, -0.0008689892582663958, -0.04590049295379332, -0.0529402159356904, 0.02921677302697238]",50,3,2.3,60,0.3,1.2,1.5,0.16,0.03
CAB,4,0.9050330767272539,"[0.01402927197752506, 0.017794173706747747, 0.09132767079362471, 0.15845980288167527, 0.13194182440997518, 0.11557315288662595]",50,0,2.32,60,0.3,1.2,1.5,0.16,0.03
CAB,0,2.6432045908328097,"[0.9144199839986983, -0.1423347991268666, 0.17089327704538343, 0.12242236169851353, -0.04544415214696564, 0.9333815420414663]",50,1,2.36,60,0.3,1.2,1.5,0.16,0.07
CAB,1,1.6064956442337928,"[-0.8767374779592926, 0.02067811938612895, -0.057805394237592726, 0.007013746449232334, 0.00588646099358971, 0.08364545450180694]",50,0,2.32,60,0.3,1.2,1.5,0.16,0.07
CAB,2,1.6307628387851705,"[0.02938864824821934, 0.06843500849786766, -0.03618264984881671, -0.8302796257028009, -0.018774915591423833, 0.05953184908620818]",50,0,2.33,60,0.3,1.2,1.5,0.16,0.07
CAB,3,0.35471593274899194,"[0.01952954824099061, -0.032688851096010274, 0.07501534051118786, 0.08228194930031521, 0.003765242853584261, -0.05447488566402419]",50,1,2.31,60,0.3,1.2,1.5,0.16,0.07
CAB,4,1.4068785650981686,"[0.06599506596624855, 0.21283251580563903, 0.19269150875093075, -0.06396521770104875, -0.15736889134201676, 0.09688427329779822]",50,0,2.33,60,0.3,1.2,1.5,0.16,0.07
CAB,0,2.8936152136457634,"[0.8745200224491212, -0.005193779552564764, 0.15355273992007182, 0.1431158379641097, -0.5381543585227739, -0.17489955811837324]",50,0,2.38,60,0.3,1.2,2.0,0.13,0.03
CAB,1,1.0792254227195817,"[-0.022328748121053982, 0.015355764023951328, 0.10413184287645494, -0.17288061094886303, -0.1990167455761674, -0.06395325647224404]",50,0,2.35,60,0.3,1.2,2.0,0.13,0.03
CAB,2,2.1026175383993544,"[-0.09480696520000434, 0.05211341439070358, -0.09703006961274388, -0.7986351080266019, -0.054757143109858526, 0.2240971535217239]",50,0,2.37,60,0.3,1.2,2.0,0.13,0.03
CAB,3,2.050642664747898,"[-0.041943955639619133, 0.26216803314038867, -0.2394044044447256, -0.13097699717847128, -0.047193162186629126, -0.30649464549176064]",50,1,2.31,60,0.3,1.2,2.0,0.13,0.03
CAB,4,2.1706383917595002,"[0.07237658154235617, 0.14246965607094314, -0.25303260790939547, 0.04996395421379685, 0.18424530027123606, 0.40233313583916186]",50,0,2.36,60,0.3,1.2,2.0,0.13,0.03
CAB,0,1.7746748103320056,"[0.15031022227396176, 0.149144916413359, 0.19262613566653128, 0.07243579642842535, 0.13103270994440422, 0.27913931865574626]",50,6,2.38,60,0.3,1.2,2.0,0.13,0.07
CAB,1,1.7717637145688028,"[-0.851503894598926, -0.08866404755686436, -0.008093579593484505, 0.11604948896420683, -0.036730852046008566, 0.08014269544755258]",50,1,2.34,60,0.3,1.2,2.0,0.13,0.07
CAB,2,1.0340248907992629,"[0.07411373332231974, 0.01082743600907042, -0.09919944320497961, -0.21838850620056857, -0.07895791430692606, 0.10494512924192717]",50,1,2.34,60,0.3,1.2,2.0,0.13,0.07
CAB,3,1.7890057699227815,"[0.03532193963537687, -0.009653154530922, -0.39265001974471975, -0.013073968071841156, -0.19614959927511905, -0.15197024118580396]",50,4,2.32,60,0.3,1.2,2.0,0.13,0.07
CAB,4,2.041066574378853,"[0.09215506256563608, 0.21991768639072062, -0.11790467406754541, -0.017290677520339037, 0.2010584235961655, 0.37477634688100603]",50,0,2.35,60,0.3,1.2,2.0,0.13,0.07
CAB,0,1.5969794679716114,"[0.9158260257461791, 0.035312093541935256, 0.03147018317544479, 0.05571821931822799, -0.03469811515759295, 0.05994040987732751]",50,0,2.3,60,0.3,1.2,2.0,0.16,0.03
CAB,1,5.38143759394713,"[-2.245656267312014, 0.31020089311180293, 0.6417777726256976, -0.08647929129317919, -0.8713141057024161, 0.8855680961317303]",18,10,0.86,60,0.3,1.2,2.0,0.16,0.03
CAB,2,0.510961051241154,"[0.08768973213938158, 0.05805508652312006, -0.0923715188921328, -0.05914020191995325, 0.027757613961926, 0.06730236746753113]",50,3,2.29,60,0.3,1.2,2.0,0.16,0.03
CAB,3,1.5605963538758343,"[-0.03850016628146631, -0.23269578981179131, 0.23687937369203194, 0.1707875224899251, 0.07904617861288851, 0.054106960316724045]",50,0,2.25,60,0.3,1.2,2.0,0.16,0.03
CAB,4,1.6463428341763948,"[-0.10722615876326334, 0.03041438749634227, 0.03482329550924112, -0.008172536447879075, 0.044640959208971424, 0.9218843437280633]",50,1,2.28,60,0.3,1.2,2.0,0.16,0.03
CAB,0,1.5863741519232382,"[0.29159427587452524, 0.011437931906969921, -0.014775860562867659, 0.23484336959135374, 0.08387976247234283, -0.1145920284824227]",50,0,2.31,60,0.3,1.2,2.0,0.16,0.07
CAB,1,0.18987765345470153,"[0.007402412241429781, -0.012783937622658274, 0.06745458545956907, 0.027836777359995485, -0.029645564399579744, 0.01313502085815094]",50,2,2.27,60,0.3,1.2,2.0,0.16,0.07
CAB,2,1.3789794328979856,"[-0.03361507528438794, -0.0153587168162451, 0.018790442891157524, -0.3742062556003492, 0.06422063423048485, -0.08027124108913196]",50,0,2.26,60,0.3,1.2,2.0,0.16,0.07
CAB,3,0.9981819905010956,"[0.11024453320150535, -0.19710630047843677, -0.005148325079847598, 0.008346347254312433, -0.13930405741272198, -0.07234205636499537]",50,2,2.27,60,0.3,1.2,2.0,0.16,0.07
CAB,4,2.401774947146212,"[-0.04810635189626514, 0.15352775477584618, 0.6380493137583391, -0.19823867920334196, 0.10948612662894806, 0.19857527732275468]",50,5,2.3,60,0.3,1.2,2.0,0.16,0.07
CAB,0,2.950604867473676,"[0.7746746360996053, 0.09519932548982143, 0.17163178512588637, -0.08095382721654354, -0.250807782809405, 0.4411799534923861]",50,1,2.38,60,0.5,1.0,1.5,0.13,0.03
CAB,1,1.7851317036561665,"[-0.1739174778994142, 0.10434401764083942, 0.2747648372838461, -0.2640939707665412, -0.01577409411466199, 0.05744866765889021]",50,5,2.37,60,0.5,1.0,1.5,0.13,0.03
CAB,2,1.8022539268103022,"[0.007472785216577717, -0.040995395890410576, 0.011022526396554372, -0.4693310387008296, -0.07608095407395622, -0.17996546678961445]",50,0,2.37,60,0.5,1.0,1.5,0.13,0.03
CAB,3,1.3043220951803716,"[0.04407807650607609, 0.010380378897320557, -0.2240478892237193, -0.011826947386891483, 0.25721357907112335, -0.020075551355084705]",50,3,2.34,60,0.5,1.0,1.5,0.13,0.03
CAB,4,2.576528523666902,"[-0.21617022268867012, -0.16422862396235816, 0.011094885728593889, -0.2743503489117168, -0.14823488759955353, 0.5385367326978122]",50,0,2.39,60,0.5,1.0,1.5,0.13,0.03
CAB,0,3.0547811887946463,"[1.1709837420971587, -0.09616218473407209, -0.11296044330680005, -0.06897761222820668, -0.03455007584178087, 0.6518888248352873]",50,0,2.4,60,0.5,1.0,1.5,0.13,0.07
CAB,1,2.0080347550997257,"[-0.5790680883478709, -0.10197008326886979, -0.05410414106232174, 0.12924171949923946, -0.0668879498089662, 0.12388849166858852]",50,0,2.36,60,0.5,1.0,1.5,0.13,0.07
CAB,2,1.6554832107111292,"[-0.03498695588152712, 0.07397481874330261, 0.0516755565701044, -0.9179674187937447, 0.054204811674708676, 0.06536574204715928]",50,0,2.37,60,0.5,1.0,1.5,0.13,0.07
CAB,3,2.1782135676312646,"[1.09057436791384, -0.0377682860777975, -0.19161183064573103, 0.06832234606395805, -0.03135080155177299, 0.07987205004519837]",50,0,2.35,60,0.5,1.0,1.5,0.13,0.07
CAB,4,2.4203811884643405,"[-0.2322821138949018, 0.20324886708728934, -0.519491352176918, -0.04364131079663339, 0.13921308801122287, 0.14322961957294286]",50,2,2.38,60,0.5,1.0,1.5,0.13,0.07
CAB,0,1.645423172116431,"[0.24218450258109522, 0.03285476836991065, 0.20102967095864346, 0.20453386355108924, -0.13273847670582525, 0.042966044211365066]",50,3,2.35,60,0.5,1.0,1.5,0.16,0.03
CAB,1,0.6388352600121725,"[-0.01571039992497825, -0.05044842352619292, 0.03285981460983366, -0.18667706144467638, -0.04289414472659969, -0.01698435037126975]",50,1,2.3,60,0.5,1.0,1.5,0.16,0.03
CAB,2,0.21589654633982436,"[-0.038205092856525076, -0.0002009339313244823, 0.05461760311459574, 0.004444554224208383, -0.024465287549451396, 0.05438572409651936]",50,0,2.3,60,0.5,1.0,1.5,0.16,0.03
CAB,3,0.2800885881011905,"[0.026484585797960418, -0.020887868710142907, -0.021070576988917775, -0.03436182234271233, -0.08439767489156033, -0.04486972788780478]",50,1,2.29,60,0.5,1.0,1.5,0.16,0.03
CAB,4,2.2848364573325175,"[-0.05638029948003637, 0.8276206971703993, 0.023714023352312333, -0.021063730164479814, -0.014957860646117607, 1.0044169845381348]",50,0,2.3,60,0.5,1.0,1.5,0.16,0.03
CAB,0,2.6549401538872357,"[0.9826228908604839, -0.16841969749239083, 0.03667799776256522, -0.04402693633562691, -0.1293532149492271, 1.0607681486245677]",50,3,2.35,60,0.5,1.0,1.5,0.16,0.07
CAB,1,0.256931738721367,"[-0.046576751446762085, -0.004009934341606444, 0.08310177636506866, 0.00539698661259478, 0.016884998134817277, 0.032634182543128894]",50,0,2.31,60,0.5,1.0,1.5,0.16,0.07
CAB,2,0.5082039896001267,"[-0.016301888183408997, -0.010305080713194855, -0.11814035910290843, -0.06794426149304131, -0.09438131690506274, -0.023769558809867752]",50,1,2.33,60,0.5,1.0,1.5,0.16,0.07
CAB,3,0.23000351705953337,"[0.01437346105296787, -0.004050669018560826, -0.00011839177445877036, 0.07968322957847739, -0.018273244110974602, -0.04423267278327706]",50,0,2.29,60,0.5,1.0,1.5,0.16,0.07
CAB,4,1.3310344466022,"[-0.06727935233139239, 0.20816217786441535, -0.12381774155422749, 0.107249760864288, 0.10665305992598648, 0.1669200638378661]",50,1,2.33,60,0.5,1.0,1.5,0.16,0.07
CAB,0,1.8887238988408268,"[1.0897581594491557, -0.02456409587464827, 0.06756593827788519, 0.035669282206231126, -0.0782798771486733, -0.01672695530889275]",50,0,2.37,60,0.5,1.0,2.0,0.13,0.03
CAB,1,1.9437425316155843,"[-0.16573826325868915, 0.02492457407712897, -0.2550051937639383, -0.17781384969214933, -0.3061625467516652, -0.03271473197265732]",50,0,2.35,60,0.5,1.0,2.0,0.13,0.03
CAB,2,1.4026886740558528,"[-0.17210344620195592, 0.021020389073206018, 0.21963405991927154, -0.0809976507774864, 0.10436459133219336, 0.16982108529371887]",50,0,2.35,60,0.5,1.0,2.0,0.13,0.03
CAB,3,3.042178346574613,"[0.9970027398329846, -0.9832542607140076, -0.8795909978918585, 0.9757655599429677, 0.002353316445725888, -0.0365983711133378]",50,5,2.32,60,0.5,1.0,2.0,0.13,0.03
CAB,4,2.7559701557841163,"[-0.07526863799924388, -0.007468243951792705, -0.07886695695512107, 0.28451375239700133, -0.000736943938874187, 1.205518319531228]",50,1,2.34,60,0.5,1.0,2.0,0.13,0.03
CAB,0,2.4112126228138107,"[0.22314162146819136, 0.14378630096369033, 0.19059433162368541, 0.07401793820541899, 0.15479050169447917, 0.5089272282576441]",50,0,2.37,60,0.5,1.0,2.0,0.13,0.07
CAB,1,1.2670410890621082,"[-0.2535198160229019, -0.06405682714781614, 0.03567783856211598, -0.17697853938595504, -0.08662245467789928, 0.04996997502572744]",50,0,2.33,60,0.5,1.0,2.0,0.13,0.07
CAB,2,0.8177112055923215,"[-0.12193491443356508, 0.1695914488613683, 0.030136655002248523, -0.08330272040229023, -0.021515470788457815, -0.06670081184222793]",50,0,2.35,60,0.5,1.0,2.0,0.13,0.07
CAB,3,1.2495418092876638,"[0.12384361543434504, 0.21932989427568692, 0.10976997787131862, -0.033259217841213426, 0.10869637570408033, 0.12684415046231232]",50,0,2.3,60,0.5,1.0,2.0,0.13,0.07
CAB,4,2.393930245533,"[0.36046849392685976, 0.25516094981661014, -0.11251869478347809, -0.20189047881509106, 0.2707075096919513, -0.02499199599241543]",50,0,2.36,60,0.5,1.0,2.0,0.13,0.07
CAB,0,0.6952951152288205,"[-0.018929448232628987, -0.030795650558544576, 0.004622039085727524, -0.10036860254908853, -0.16991802038385315, 0.0696543201233556]",50,1,2.3,60,0.5,1.0,2.0,0.16,0.03
CAB,1,5.38143759394713,"[-2.245656267312014, 0.31020089311180293, 0.6417777726256976, -0.08647929129317919, -0.8713141057024161, 0.8855680961317303]",18,10,0.87,60,0.5,1.0,2.0,0.16,0.03
CAB,2,0.13160887216906447,"[-0.021781706985082847, -0.023211935653139983, -0.04609590587010098, 0.010876262415394689, -0.014388570780377391, -0.015064337396693476]",50,2,2.27,60,0.5,1.0,2.0,0.16,0.03
CAB,3,2.6177436402286465,"[0.9706880203758954, -0.9670749262332925, -0.030004544600222102, 1.000022753346004, 0.019366857757895758, -0.014142414627337084]",50,4,2.24,60,0.5,1.0,2.0,0.16,0.03
CAB,4,0.8634487575802585,"[0.06332099334205345, 0.0340454846346327, 0.08508432944255344, 0.034253432121901184, 0.06973639257370581, 0.2100998069978084]",50,1,2.32,60,0.5,1.0,2.0,0.16,0.03
CAB,0,2.3835258919773854,"[0.4989178489201713, 0.143939077578968, 0.12680818402654095, 0.03933147842676699, -0.33704683170905686, -0.0007783963123882045]",50,1,2.29,60,0.5,1.0,2.0,0.16,0.07
CAB,1,5.453553634997984,"[-2.2599801316395887, 0.29971658291768455, 0.6266579819759257, -0.13460100958720067, -0.8507119982228907, 0.9274734832137309]",18,10,0.86,60,0.5,1.0,2.0,0.16,0.07
CAB,2,0.10388156147769623,"[0.028992439804982756, -0.02876150820296942, 0.0017219656564935785, 0.012749084259147309, 0.007743068830941991, -0.024781804067232065]",50,5,2.29,60,0.5,1.0,2.0,0.16,0.07
CAB,3,1.2263137281282934,"[0.008057071316267967, -0.04522534448186493, 0.0890870978974442, 0.1419221809148892, -0.09999356198299203, 0.25588787493674936]",50,0,2.23,60,0.5,1.0,2.0,0.16,0.07
CAB,4,0.5193384341725538,"[-0.023584191559905474, 0.043504286658942584, 0.02923107031580189, 0.12146774655688082, 0.10625749810602128, -0.006524096319220241]",50,1,2.34,60,0.5,1.0,2.0,0.16,0.07
